Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776712545,50,,Aggregated,131.100000,0.000000,170,240,280,310,410,480,620,670,740,770,770,3930,0,170.0,211.1971341519119,9.429181001905818,766.7116259981412,1253.335368956743
1776712546,60,,Aggregated,136.400000,0.000000,180,240,290,320,430,490,630,680,760,790,790,4032,0,180.0,215.57857242436683,9.429181001905818,788.9811130007729,1261.7837301587301
1776712547,70,,Aggregated,130.900000,0.000000,190,250,300,330,430,500,630,680,780,860,860,4166,0,190.0,220.65085494720992,9.429181001905818,858.9894850010751,1264.8994239078252
1776712548,80,,Aggregated,135.900000,0.000000,190,260,310,340,440,510,630,690,870,990,990,4287,0,190.0,226.60673746374894,9.429181001905818,987.3690280001028,1261.1996734313038
1776712549,90,,Aggregated,136.000000,0.000000,200,270,320,350,450,520,670,740,1300,1400,1400,4450,0,200.0,235.1318962851931,9.429181001905818,1393.0960979996598,1258.880224719101
1776712550,100,,Aggregated,134.000000,0.000000,210,270,330,360,460,560,680,780,1400,1500,1500,4610,0,210.0,242.25409028896482,9.429181001905818,1541.5921730018454,1251.5696312364425
1776712551,100,,Aggregated,137.000000,0.000000,220,280,330,370,470,580,710,850,1500,1700,1700,4796,0,220.0,249.3359379887708,9.429181001905818,1683.6308030033251,1242.866763969975
1776712552,100,,Aggregated,141.100000,0.000000,220,290,340,370,470,600,740,880,1500,1700,1700,4966,0,220.0,255.75416881397305,9.429181001905818,1683.6308030033251,1233.866693515908
1776712553,100,,Aggregated,145.700000,0.000000,230,290,340,380,480,620,760,910,1500,1700,1700,5136,0,230.0,261.95521067311444,9.429181001905818,1683.6308030033251,1227.9696261682243
1776712554,100,,Aggregated,148.100000,0.000000,230,300,350,390,480,630,780,930,1500,1700,1700,5312,0,230.0,266.8994793053729,9.429181001905818,1683.6308030033251,1223.8352786144578
1776712555,100,,Aggregated,148.200000,0.000000,240,300,350,400,490,630,810,1000,1500,1700,1700,5492,0,240.0,271.9913043294142,9.429181001905818,1683.6308030033251,1221.0020029133284
1776712556,100,,Aggregated,149.200000,0.000000,240,300,360,400,500,640,850,1100,1500,1700,1700,5641,0,240.0,277.0058605038366,9.429181001905818,1683.6308030033251,1218.1086686757667
