Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776712334,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776712335,10,,Aggregated,0.000000,0.000000,44,54,60,64,67,71,72,72,72,72,72,40,0,44,48.8411390750116,26.670736995583866,71.63217299967073,329.0
1776712336,20,,Aggregated,0.000000,0.000000,48,58,63,65,71,94,98,99,99,99,99,88,0,47,49.61838895459633,10.007345998019446,98.73099199467106,311.90909090909093
1776712337,30,,Aggregated,40.000000,0.000000,44,56,62,64,72,96,110,110,110,110,110,140,0,44,47.02156548576438,9.522002001176588,109.29288099578116,302.14285714285717
1776712338,40,,Aggregated,42.500000,0.000000,42,49,58,62,68,87,99,110,110,110,110,202,0,41,42.72280837133144,8.729990004212596,109.29288099578116,289.91089108910893
1776712339,50,,Aggregated,45.000000,0.000000,38,44,54,59,66,72,98,110,110,110,110,268,0,37,39.335124671794546,7.965697004692629,109.29288099578116,281.2985074626866
1776712340,50,,Aggregated,49.250000,0.000000,34,43,51,56,64,71,96,100,110,110,110,301,0,34,36.38252421266568,7.965697004692629,109.29288099578116,265.9169435215947
1776712341,50,,Aggregated,52.200000,0.000000,32,41,45,54,64,69,96,100,110,110,110,335,0,32,34.01355807467037,7.965697004692629,109.29288099578116,253.23880597014926
1776712342,50,,Aggregated,48.666667,0.000000,26,39,44,51,63,69,94,100,110,110,110,372,0,26,31.938808577975305,7.965697004692629,109.29288099578116,242.0752688172043
1776712343,50,,Aggregated,46.571429,0.000000,22,37,43,47,63,68,94,99,110,110,110,402,0,22,30.49272285073614,7.965697004692629,109.29288099578116,234.53233830845772
1776712344,50,,Aggregated,44.625000,0.000000,18,35,42,45,62,67,94,99,110,110,110,433,0,18,29.207384189322358,7.965697004692629,109.29288099578116,227.83602771362587
1776712345,50,,Aggregated,43.555556,0.000000,16,33,41,44,62,66,91,99,110,110,110,475,0,16,27.672032696856675,7.963757001562044,109.29288099578116,220.1578947368421
1776712346,50,,Aggregated,42.900000,0.000000,15,30,39,43,61,66,87,98,110,110,110,506,0,15,26.737349513862828,7.963757001562044,109.29288099578116,215.3083003952569
1776712347,50,,Aggregated,42.600000,0.000000,14,27,37,42,59,66,87,98,110,110,110,538,0,14,25.903438353205843,7.963757001562044,109.29288099578116,210.88847583643124
1776712348,50,,Aggregated,41.000000,0.000000,14,24,36,41,58,65,74,98,110,110,110,573,0,14,25.047181202501,7.963757001562044,109.29288099578116,206.6195462478185
1776712349,50,,Aggregated,39.600000,0.000000,14,19,34,40,56,64,73,96,110,110,110,605,0,14,24.346843209973446,7.963757001562044,109.29288099578116,203.1487603305785
1776712350,50,,Aggregated,36.700000,0.000000,14,18,33,39,56,64,73,96,110,110,110,638,0,14,23.726373114517298,7.963757001562044,109.29288099578116,199.93416927899688
1776712351,50,,Aggregated,33.500000,0.000000,14,17,32,37,54,64,72,96,110,110,110,673,0,14,23.227011554307627,7.963757001562044,109.29288099578116,196.86924219910847
1776712352,50,,Aggregated,34.100000,0.000000,13,17,29,36,54,63,71,94,110,110,110,705,0,13,22.70499429225233,7.963757001562044,109.29288099578116,194.33333333333334
1776712353,50,,Aggregated,33.500000,0.000000,13,16,27,35,52,63,71,94,110,110,110,736,0,13,22.24034384924222,7.963757001562044,109.29288099578116,192.08695652173913
1776712354,50,,Aggregated,33.800000,0.000000,13,16,24,34,50,63,71,94,110,110,110,772,0,13,21.751798163300457,7.963757001562044,109.29288099578116,189.70466321243524
1776712355,50,,Aggregated,33.900000,0.000000,13,16,22,33,47,63,69,94,110,110,110,805,0,13,21.418432654705917,7.963757001562044,109.29288099578116,187.70807453416148
1776712356,50,,Aggregated,33.500000,0.000000,13,15,21,32,45,63,69,94,110,110,110,835,0,13,21.2006032970193,7.963757001562044,109.29288099578116,186.02994011976048
1776712357,50,,Aggregated,33.200000,0.000000,13,15,19,31,45,62,69,94,110,110,110,870,0,13,20.84487488164818,7.963757001562044,109.29288099578116,184.2183908045977
1776712358,50,,Aggregated,33.400000,0.000000,13,15,19,28,44,62,69,91,110,110,110,906,0,13,20.478979931562144,7.963757001562044,109.29288099578116,182.50110375275938
1776712359,50,,Aggregated,33.300000,0.000000,13,15,18,26,44,62,69,91,110,110,110,938,0,13,20.17775302130161,7.963757001562044,109.29288099578116,181.0852878464819
1776712360,50,,Aggregated,33.000000,0.000000,13,14,17,25,44,61,69,91,110,110,110,970,0,13,19.924826123682692,7.963757001562044,109.29288099578116,179.76288659793815
1776712361,50,,Aggregated,33.200000,0.000000,13,14,17,24,43,61,68,87,110,110,110,1004,0,13,19.67682566928452,7.963757001562044,109.29288099578116,178.45019920318725
1776712362,50,,Aggregated,32.800000,0.000000,13,14,17,21,42,60,68,87,110,110,110,1044,0,13,19.415118051681414,7.963757001562044,109.29288099578116,177.01532567049807
1776712363,50,,Aggregated,33.400000,0.000000,13,14,16,20,42,59,67,87,110,110,110,1075,0,13,19.187628000888022,7.963757001562044,109.29288099578116,175.97674418604652
1776712364,50,,Aggregated,33.400000,0.000000,13,14,16,19,42,59,67,87,110,110,110,1100,0,13,19.008958689036344,7.963757001562044,109.29288099578116,175.1818181818182
1776712365,60,,Aggregated,33.100000,0.000000,13,14,17,25,44,61,69,87,110,110,110,1178,0,13,19.893673590775226,7.963757001562044,109.29288099578116,179.30220713073004
1776712366,70,,Aggregated,33.000000,0.000000,13,15,19,31,45,62,69,84,110,110,110,1259,0,13,20.64235682125217,7.963757001562044,109.29288099578116,182.8109610802224
1776712367,80,,Aggregated,37.100000,0.000000,13,15,24,34,48,62,69,74,110,110,110,1343,0,13,21.385920664145765,7.963757001562044,109.29288099578116,185.795234549516
1776712368,90,,Aggregated,41.400000,0.000000,13,16,30,37,51,63,69,87,110,110,110,1436,0,13,22.225160540299758,7.963757001562044,109.29288099578116,188.13091922005572
